id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,filtered_tweet,pred_value,confidence,confidencefull,pred_sentiment
1593876776031485952,1593876739427557376,2022-11-19 16:00:10 +08,2022-11-19,16:00:10,800,15448383,inquirerdotnet,Inquirer,,"“After 24 hours of Labor, A Lunar Eclipse, with rain from the beginning of labor til he was born, he’s here safe and sound,” Big Sean writes. “Happy, healthy and everything we could ever ask for and more. Any and everything for you son.”",en,[],[],[],0,0,2,[],[],https://twitter.com/inquirerdotnet/status/1593876776031485952,False,,0,,Manila,,,,,,[],,,,, after 24 hours of labor lunar eclipse with rain from the beginning of labor til he was born he here safe and sound big sean writes happy healthy and everything we could ever ask for and more any and everything for you son ,1,0.5226965420319493,"[0.15001684133452658, 0.3272866166335242, 0.5226965420319493]",positive
1593620104259829761,1593620104259829761,2022-11-18 23:00:15 +08,2022-11-18,23:00:15,800,1009024545020305409,theanimoshs,The Animo,,"Midnight twirls maroon.  In the dullness of dusk tiptoes the scarlet moon, trickling in a scarlet cascade in the hands of those who witness it. The moon bleeds red as it passes through the Earth’s shadow on November 8, 2022—the final total lunar eclipse until 2025.  https://t.co/L35OUmgydi",en,[],[],['https://pbs.twimg.com/media/Fh2sjLeVIAEeHHM.jpg'],1,5,9,[],[],https://twitter.com/TheAnimoSHS/status/1593620104259829761,False,,1,https://pbs.twimg.com/media/Fh2sjLeVIAEeHHM.jpg,Manila,,,,,,[],,,,,midnight twirls maroon in the dullness of dusk tiptoes the scarlet moon trickling in scarlet cascade in the hands of those who witness it the moon bleeds red as it passes through the earth shadow on november 8 2022 the final total lunar eclipse until 2025,0,0.7031815267366814,"[0.10365046867539156, 0.7031815267366814, 0.19316800458792702]",neutral
1592820250281926656,1592820250281926656,2022-11-16 18:01:55 +08,2022-11-16,18:01:55,800,262110993,ustches,UST Chemical Engineering Society,,"Were you able to capture the awaited Lunar Eclipse last 8th of November? Truly, it was alluring! But we know that it has also sparked your curiosity towards astronomy. 🪐💫  To satisfy your inquisitive intellect, here's our ChEknow trivia this November relating to astronomy.  https://t.co/JUXy0VEhu8",en,[],[],['https://pbs.twimg.com/media/FhrVk0QakAIZOkh.jpg'],1,2,4,[],[],https://twitter.com/USTChES/status/1592820250281926656,False,,1,https://pbs.twimg.com/media/FhrVk0QakAIZOkh.jpg,Manila,,,,,,[],,,,,were you able to capture the awaited lunar eclipse last 8th of november truly it was alluring but we know that it has also sparked your curiosity towards astronomy to satisfy your inquisitive intellect here our cheknow trivia this november relating to astronomy,1,0.5178348581848871,"[0.1409389058606842, 0.34122623595442875, 0.5178348581848871]",positive
1592810856890634240,1592810856890634240,2022-11-16 17:24:35 +08,2022-11-16,17:24:35,800,1117694559809462273,samliam7,삼손,,at 5pm onwards before lunar eclipse  https://t.co/KgRNYOHCYp,en,[],[],['https://pbs.twimg.com/media/FhrNCCLagAE4IZP.jpg'],0,0,0,[],[],https://twitter.com/SamLiam7/status/1592810856890634240,False,,1,https://pbs.twimg.com/media/FhrNCCLagAE4IZP.jpg,Manila,,,,,,[],,,,,at 5pm onwards before lunar eclipse,0,0.5171417196383558,"[0.1441507239113595, 0.5171417196383558, 0.3387075564502848]",neutral
1592758601067921409,1592744610283261952,2022-11-16 13:56:57 +08,2022-11-16,13:56:57,800,1524761232057987072,tesla022005,Maritess Dimalanta,,@binjinganda143 @PrincessYelena Ng lunar eclipse kz kaya ganyan intindihin n lng ntin cla✌️✌️✌️,tl,[],[],[],1,0,1,[],[],https://twitter.com/tesla022005/status/1592758601067921409,False,,0,,Manila,,,,,,"[{'screen_name': 'binjinganda143', 'name': 'Binjinganda143', 'id': '1427378398792323091'}, {'screen_name': 'PrincessYelena', 'name': '🌸🐰프린세스 예리나🌸🐰', 'id': '752450329338269696'}]",,,,,ng lunar eclipse kz kaya ganyan intindihin lng ntin cla ,-1,0.39697208020205227,"[0.39697208020205227, 0.2602815103669908, 0.3427464094309569]",negative
1592527594414813188,1245605987173584901,2022-11-15 22:39:00 +08,2022-11-15,22:39:00,800,3305956321,leyoooov,Lelouch,,November 08 - Lunar Eclipse sighting sa UPLB Freedom Park (had fun looking sa telescope galing huhu)  https://t.co/qqRvn3RDVn,en,[],[],"['https://pbs.twimg.com/media/FhnLZixaAAAnyNv.jpg', 'https://pbs.twimg.com/media/FhnLZ_5aYAAzMqX.jpg']",1,0,0,[],[],https://twitter.com/leyooooV/status/1592527594414813188,False,,1,https://pbs.twimg.com/media/FhnLZixaAAAnyNv.jpg,Manila,,,,,,[],,,,,november 08 lunar eclipse sighting sa uplb freedom park had fun looking sa telescope galing huhu,1,0.5495469130773192,"[0.13978485179256203, 0.31066823513011876, 0.5495469130773192]",positive
1591286045647470592,1591286045647470592,2022-11-12 12:25:32 +08,2022-11-12,12:25:32,800,1002729206432686080,tubalinalpeter,Peter Benedict Tubalinal,,Just sharing my lunar eclipse experience which I did in a cemetery (where my dad is). We used to observe the night skies and so I wanted to share this with him to remember the old times.  @Edwelda @lunareclipse @stargazing @astronomy  https://t.co/eKEOC2zSKU,en,"[{'screen_name': 'edwelda', 'name': 'imelda and edwin', 'id': '3239118532'}, {'screen_name': 'lunareclipse', 'name': 'lunareclipse', 'id': '14413827'}, {'screen_name': 'stargazing', 'name': '👑🐆young prince drank🐆👑', 'id': '933790671705485312'}, {'screen_name': 'astronomy', 'name': '[ astronomy news ]', 'id': '2811851'}]",[],"['https://pbs.twimg.com/media/FhViNTIVUAEXWJF.jpg', 'https://pbs.twimg.com/media/FhViNmyVIAEXhO5.jpg', 'https://pbs.twimg.com/media/FhViN9gUcAAkBEW.jpg', 'https://pbs.twimg.com/media/FhViOaEVsAA497Q.jpg']",0,4,22,[],[],https://twitter.com/TubalinalPeter/status/1591286045647470592,False,,1,https://pbs.twimg.com/media/FhViNTIVUAEXWJF.jpg,Manila,,,,,,[],,,,,just sharing my lunar eclipse experience which did in cemetery where my dad is we used to observe the night skies and so wanted to share this with him to remember the old times,1,0.5654086593531686,"[0.12617292150249468, 0.3084184191443367, 0.5654086593531686]",positive
1591094284014751746,1591094284014751746,2022-11-11 23:43:33 +08,2022-11-11,23:43:33,800,795623292,praxis70,Sir Z,,11:11/11-11-22  There were no aliens sighted after the lunar eclipse. I just love the numbers. This will not happen again in our lifetime. There is no next on this planet.  https://t.co/yDH0zuFQHL,en,[],[],['https://pbs.twimg.com/media/FhSz0YgaAAEkEdK.jpg'],0,0,2,[],[],https://twitter.com/praxis70/status/1591094284014751746,False,,1,https://pbs.twimg.com/media/FhSz0YgaAAEkEdK.jpg,Manila,,,,,,[],,,,,11 11 11 11 22 there were no aliens sighted after the lunar eclipse just love the numbers this will not happen again in our lifetime there is no next on this planet,1,0.572633589780663,"[0.07998016919143644, 0.34738624102790056, 0.572633589780663]",positive
1591093922486718464,1591093922486718464,2022-11-11 23:42:06 +08,2022-11-11,23:42:06,800,795623292,praxis70,Sir Z,,NO POST-LUNAR ECLIPSE VISITING ALIENS These photos were from 'Unusual Views' of the University of Santo Tomas taken by Bernard Tn. Those are the statues of saints atop the main building. UST is the oldest existing Catholic institution of higher learning in all of Asia.  https://t.co/1D8Bc45Aqt,en,[],[],"['https://pbs.twimg.com/media/FhSze98aYAIxi6W.jpg', 'https://pbs.twimg.com/media/FhSzfLyaMAElp-Z.jpg', 'https://pbs.twimg.com/media/FhSzfWzaAAA_u7T.jpg']",0,0,4,[],[],https://twitter.com/praxis70/status/1591093922486718464,False,,1,https://pbs.twimg.com/media/FhSze98aYAIxi6W.jpg,Manila,,,,,,[],,,,,no post lunar eclipse visiting aliens these photos were from unusual views of the university of santo tomas taken by bernard tn those are the statues of saints atop the main building ust is the oldest existing catholic institution of higher learning in all of asia,0,0.6998577754607843,"[0.14888952123674565, 0.6998577754607843, 0.15125270330247]",neutral
1590972328640667648,1590972316665909251,2022-11-11 15:38:56 +08,2022-11-11,15:38:56,800,715777524,trinityuofa,Trinity Univ of Asia,,"2/7 with “Stranger Things” as the theme on the day of the lunar eclipse. The students have arrived in scary and creative costumes from witches, vampires, and fairies to Mario and Luigi, anime and sims characters, and the gossiping Marites. The event was hosted by Cyra Ocanada  https://t.co/t7lvbimCyD",en,[],[],"['https://pbs.twimg.com/media/FhREaHWaEAEfRod.jpg', 'https://pbs.twimg.com/media/FhREtO2acAIX9iv.jpg']",1,0,0,[],[],https://twitter.com/TrinityUofA/status/1590972328640667648,False,,1,https://pbs.twimg.com/media/FhREaHWaEAEfRod.jpg,Manila,,,,,,[],,,,,2 7 with stranger things as the theme on the day of the lunar eclipse the students have arrived in scary and creative costumes from witches vampires and fairies to mario and luigi anime and sims characters and the gossiping marites the event was hosted by cyra ocanada,0,0.7449612323122806,"[0.08271072402445838, 0.7449612323122806, 0.172328043663261]",neutral
